condition,method,n,successes,success_rate,success_ci95_low,success_ci95_high,fieldAccuracy_mean,fieldAccuracy_median,fieldAccuracy_p25,fieldAccuracy_p75,totalTokens_mean,totalTokens_median,totalTokens_p25,totalTokens_p75,wallTimeMs_mean,wallTimeMs_median,wallTimeMs_p25,wallTimeMs_p75,communicationBytes_mean,communicationBytes_median,communicationBytes_p25,communicationBytes_p75,communicationMessages_mean,communicationMessages_median,communicationMessages_p25,communicationMessages_p75,modelCallCount_mean,modelCallCount_median,modelCallCount_p25,modelCallCount_p75,staleFactAcceptanceCount_mean,staleFactAcceptanceCount_median,staleFactAcceptanceCount_p25,staleFactAcceptanceCount_p75
no_fault,single_agent,15,3,0.2,0.07047549346981563,0.45185448715169363,0.9111111111111111,0.9166666666666666,0.875,0.9166666666666666,1375.4,1377.0,1375.0,1377.0,1096.7333333333333,994.0,912.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0666666666666667,1.0,1.0,1.5
no_fault,static_chain,15,3,0.2,0.07047549346981563,0.45185448715169363,0.9,0.9166666666666666,0.8333333333333334,0.9166666666666666,2420.6,2412.0,2410.0,2423.0,3892.866666666667,3697.0,3635.5,4130.0,796.8,797.0,786.0,803.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.2,1.0,1.0,2.0
no_fault,static_star,15,3,0.2,0.07047549346981563,0.45185448715169363,0.8944444444444444,0.9166666666666666,0.8333333333333334,0.9166666666666666,3150.4,3030.0,3008.5,3362.5,5733.333333333333,5688.0,5415.5,5937.0,1580.7333333333333,1387.0,1311.5,1908.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1.1333333333333333,1.0,0.5,2.0
no_fault,broadcast,15,3,0.2,0.07047549346981563,0.45185448715169363,0.9055555555555556,0.9166666666666666,0.8333333333333334,0.9166666666666666,6154.266666666666,6159.0,6145.5,6166.0,5126.933333333333,5007.0,4815.5,5434.5,16123.733333333334,16112.0,16110.0,16132.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,1.1333333333333333,1.0,1.0,2.0
no_fault,zyra_full,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,0.9888888888888889,1.0,1.0,1.0,2754.6666666666665,2751.0,2741.5,2797.5,4535.933333333333,4587.0,4345.0,4723.0,419.93333333333334,344.0,325.0,525.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,0.13333333333333333,0.0,0.0,0.0
agent_loss,single_agent,15,0,0.0,0.0,0.20388330103584862,0.0,0.0,0.0,0.0,1375.4,1377.0,1375.0,1377.0,1001.3333333333334,882.0,835.5,1133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
agent_loss,static_chain,15,0,0.0,0.0,0.20388330103584862,0.711111111111111,0.75,0.6666666666666666,0.75,2394.4,2412.0,2365.0,2430.5,4184.2,4295.0,3732.5,4563.0,722.7333333333333,786.0,642.5,802.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.4666666666666666,2.0,1.0,2.0
agent_loss,static_star,15,0,0.0,0.0,0.20388330103584862,0.7333333333333333,0.75,0.6666666666666666,0.8333333333333334,3033.0666666666666,2965.0,2930.0,3123.5,5853.066666666667,5819.0,5428.5,6068.0,1246.0,1172.0,1092.0,1333.5,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0666666666666667,1.0,1.0,1.5
agent_loss,broadcast,15,5,0.3333333333333333,0.1517632443971473,0.5828645226148023,0.9277777777777777,0.9166666666666666,0.9166666666666666,1.0,6061.4,6065.0,6054.0,6073.0,5085.933333333333,5113.0,4873.0,5501.5,12092.666666666666,12084.0,12082.0,12099.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,0.8666666666666667,1.0,0.0,1.0
agent_loss,zyra_full,15,13,0.8666666666666667,0.6211801716767764,0.9626387408969346,0.9888888888888889,1.0,1.0,1.0,3280.133333333333,3271.0,3257.0,3310.5,5581.066666666667,5484.0,5269.0,6023.0,435.73333333333335,522.0,326.5,527.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,0.13333333333333333,0.0,0.0,0.0
